node1,node2,available_bandwidth,throughput,delay,packet_loss
20,17,99999.72,0.28,1.603,0.01
20,15,24999.72,0.28,1.088,0.01
20,22,24999.72,0.28,0.748,0.01
17,20,99999.72,0.28,1.603,0.01
17,7,99999.76,0.24,0.731,0.01
17,10,99999.76,0.24,0.638,0.01
17,23,25000.0,0.0,0.839,0
17,13,99999.72,0.28,1.124,0.01
21,3,99999.48,0.52,1.187,0.01
21,7,99999.48,0.52,0.7,0.01
21,18,24999.48,0.52,0.449,0.01
3,21,100000.0,0.0,1.187,0
3,10,99999.48,0.52,0.862,0.01
3,14,1549.72,0.28,1.316,0.01
3,1,99999.76,0.239,1.001,0.01
3,11,25000.0,0.0,0.933,0
19,6,1549.72,0.279,1.003,0.01
19,13,24999.72,0.28,1.293,0.01
19,7,24999.72,0.28,1.02,0.01
6,19,1549.721,0.28,1.003,0.01
6,7,1549.721,0.28,0.63,0.01
10,3,99999.72,0.28,0.862,0.01
10,12,99999.48,0.52,0.878,0.01
10,17,100000.0,0.0,0.639,0
10,11,24999.72,0.28,0.927,0.01
10,16,100000.0,0.0,1.337,0
13,19,24999.72,0.28,1.293,0.01
13,14,1549.72,0.28,1.293,0.01
13,2,99999.72,0.28,0.727,0.01
13,17,100000.0,0.0,1.124,0
14,13,1549.48,0.52,1.293,0.01
14,3,1549.72,0.28,1.316,0.01
7,19,24999.72,0.28,1.019,0.01
7,21,99999.72,0.28,0.7,0.01
7,6,1549.48,0.519,0.631,0.01
7,17,99999.72,0.28,0.73,0.01
7,2,99999.72,0.28,0.229,0.01
7,1,99999.72,0.279,0.691,0.01
5,8,24999.76,0.24,0.81,0.01
5,16,25000.0,0.0,0.904,0
8,5,24999.72,0.28,0.81,0.01
8,9,24999.72,0.28,0.843,0.01
9,8,24999.48,0.52,0.843,0.01
9,15,24999.72,0.28,0.826,0.01
9,16,99999.72,0.28,0.872,0.01
16,5,24999.48,0.52,0.903,0.01
16,4,99999.76,0.24,0.924,0.01
16,9,99999.48,0.52,0.872,0.01
16,1,99999.76,0.239,0.907,0.01
16,10,99999.48,0.52,1.337,0.01
18,21,25000.0,0.0,0.449,0
18,2,25000.0,0.0,0.315,0
2,18,24999.48,0.52,0.315,0.01
2,4,99999.48,0.52,0.663,0.01
2,7,99999.76,0.24,0.229,0.01
2,23,24999.72,0.28,0.429,0.01
2,12,100000.0,0.0,0.666,0
2,13,99999.72,0.28,0.727,0.01
4,2,99999.72,0.28,0.663,0.01
4,16,99999.72,0.28,0.924,0.01
1,7,100000.0,0.0,0.692,0
1,3,99999.721,0.28,1.001,0.01
1,16,100000.0,0.0,0.907,0
15,20,25000.0,0.0,1.088,0
15,9,24999.72,0.28,0.827,0.01
22,20,24999.48,0.52,0.748,0.01
22,12,99999.76,0.24,0.808,0.01
23,2,24999.76,0.24,0.429,0.01
23,17,24999.48,0.52,0.839,0.01
12,2,99999.48,0.52,0.666,0.01
12,10,99999.72,0.28,0.878,0.01
12,22,100000.0,0.0,0.807,0
11,10,25000.0,0.0,0.927,0
11,3,24999.72,0.28,0.933,0.01
