node1,node2,available_bandwidth,throughput,delay,packet_loss
20,17,99767.792,233.373,0.667,0.01
20,22,24916.404,83.638,1.35,0.01
20,15,24880.679,119.739,0.782,0.01
17,20,99724.739,273.886,0.667,0.01
17,10,93961.968,6028.814,0.014,0
17,7,99167.992,829.095,21.467,0.01
17,13,99628.996,369.335,2.357,0.01
17,23,24999.759,0.24,1.153,0.01
3,14,1245.888,304.722,1.168,0.01
3,21,99314.257,685.057,0.633,0.01
3,10,99451.406,548.594,1.143,0.01
3,1,99516.998,484.699,1.269,0.01
3,11,23849.145,1148.339,1.468,0.52
14,3,1412.576,137.149,1.168,0.01
14,13,1424.526,125.097,0.755,0.01
5,8,24940.22,59.99,0.001,0.01
5,16,21094.146,3905.854,1.037,0.01
8,5,24994.025,5.954,0.001,0.01
8,9,20805.353,4198.856,0.001,0.01
7,19,24791.056,208.736,1.217,0.01
7,6,1418.749,131.647,0.815,0.01
7,21,99642.042,357.421,0.557,0.01
7,2,98163.162,1835.002,0.001,0.01
7,1,99767.204,233.614,0.997,0.01
7,17,97942.771,2058.474,21.466,0.29
19,7,24511.284,489.205,1.217,0.01
19,6,1549.76,0.241,0.205,0.01
19,13,24999.76,0.24,1.304,0.01
6,19,1549.759,0.24,0.205,0.01
6,7,1430.08,119.56,0.815,0.01
13,19,24916.362,83.596,1.304,0.01
13,14,1234.038,316.912,0.756,0.01
13,2,98659.67,1340.33,0.001,0.01
13,17,98957.521,1047.189,2.358,0.01
21,3,99737.891,256.408,0.633,2.27
21,7,99648.536,351.992,0.556,0.01
21,18,24481.998,518.261,0.392,0.01
18,21,24994.043,5.954,0.392,0.01
18,2,23212.654,1787.346,0.001,0.01
9,8,23528.45,1470.075,0.001,0.01
9,16,88869.48300000001,11116.204,1.323,0
9,15,24916.026,83.89,7.717,0.01
2,7,96985.747,3011.306,0.001,0.2
2,4,97015.532,2996.448,0.001,0.01
2,18,24303.028,696.972,0.001,0.01
2,13,99737.891,262.109,0.001,0.01
2,12,96759.38,3223.723,0.001,0.92
2,23,24999.76,0.24,0.001,0.01
4,2,94431.51,5564.098,0.001,0
4,16,99569.373,428.691,0.34,0.01
1,7,99473.173,536.908,0.997,0
1,16,95266.707,4733.467,1.063,0
1,3,99958.112,41.741,1.269,0.01
12,2,96369.333,3628.066,0.001,0
12,10,99132.524,864.872,0.038,0.01
12,22,99587.075,417.231,0.865,0
10,12,85217.769,14796.829,0.039,0.2
10,17,94502.131,5517.189,0.015,0.01
10,16,94925.503,5072.847,0.001,0
10,3,99475.258,524.742,1.143,0.01
10,11,23568.884,1429.443,1.109,0.42
22,20,24898.731,101.219,1.35,0.01
22,12,99606.837,394.742,0.865,0.01
16,10,88121.678,11890.185,0.001,0.05
16,4,95975.065,4025.168,0.341,0.44
16,5,21225.135000000002,3774.865,1.036,0.01
16,9,94766.394,5245.278,1.323,0.23
16,1,99595.125,406.908,1.063,0.01
23,17,24982.111,17.952,1.153,0.01
23,2,25000.0,0.0,0.001,0
11,10,18372.885000000002,6607.224,1.109,0.01
11,3,24969.854,30.055,1.467,0.01
15,20,24904.16,95.504,0.782,0.01
15,9,24910.135,89.955,7.717,0.01
